date,home_team,away_team,home_goals,away_goals
2018-08-04,Sundowns,Kaizer Chiefs,1,1
2018-08-04,Cape Town City,SuperSport,2,0
2018-08-04,Black Leopards,Polokwane City,1,0
2018-08-04,Bidvest Wits,Free State Stars,3,0
2018-08-04,AmaZulu,Baroka FC,1,0
2018-08-04,Orlando Pirates,Highlands Park,1,1
2018-08-05,Bloem Celtic,Chippa Utd,2,0
2018-08-05,Maritzburg Utd,Golden Arrows,0,2
2018-08-07,Polokwane City,Sundowns,0,2
2018-08-07,Kaizer Chiefs,Bidvest Wits,1,3
2018-08-08,Golden Arrows,Bloem Celtic,0,2
2018-08-08,Chippa Utd,Orlando Pirates,0,1
2018-08-08,Baroka FC,Cape Town City,2,1
2018-08-08,SuperSport,AmaZulu,1,0
2018-08-08,Free State Stars,Maritzburg Utd,2,1
2018-08-09,Highlands Park,Black Leopards,2,2
2018-08-14,Baroka FC,Kaizer Chiefs,1,1
2018-08-15,Orlando Pirates,Bidvest Wits,0,1
2018-08-17,Maritzburg Utd,Kaizer Chiefs,0,0
2018-08-18,Polokwane City,Baroka FC,2,0
2018-08-18,Cape Town City,Golden Arrows,0,0
2018-08-18,Chippa Utd,Black Leopards,2,2
2018-08-18,Bidvest Wits,SuperSport,0,1
2018-08-19,AmaZulu,Free State Stars,2,1
2018-08-19,Bloem Celtic,Orlando Pirates,1,0
2018-08-22,Sundowns,Highlands Park,0,0
2018-08-28,Black Leopards,Orlando Pirates,1,2
2018-08-29,Golden Arrows,Polokwane City,1,1
2018-08-29,SuperSport,Chippa Utd,2,1
2018-08-29,Bidvest Wits,AmaZulu,3,0
2018-08-29,Kaizer Chiefs,Bloem Celtic,2,2
2018-08-29,Baroka FC,Highlands Park,1,1
2018-08-29,Free State Stars,Cape Town City,2,2
2018-09-15,Chippa Utd,Baroka FC,1,0
2018-09-15,Cape Town City,Kaizer Chiefs,1,4
2018-09-15,Maritzburg Utd,Bidvest Wits,0,0
2018-09-15,Polokwane City,Free State Stars,1,0
2018-09-15,Orlando Pirates,SuperSport,3,1
2018-09-16,AmaZulu,Sundowns,3,3
2018-09-16,Black Leopards,Bloem Celtic,0,1
2018-09-16,Highlands Park,Golden Arrows,2,1
2018-09-18,Free State Stars,Kaizer Chiefs,0,2
2018-09-19,Golden Arrows,Sundowns,0,1
2018-09-19,Orlando Pirates,Cape Town City,2,2
2018-09-21,Bidvest Wits,Polokwane City,0,1
2018-09-22,Baroka FC,Orlando Pirates,1,2
2018-09-22,Golden Arrows,Chippa Utd,0,0
2018-09-22,Kaizer Chiefs,AmaZulu,2,0
2018-09-22,Free State Stars,Highlands Park,1,0
2018-09-23,Bloem Celtic,Maritzburg Utd,0,1
2018-09-23,SuperSport,Black Leopards,4,0
2018-09-26,Baroka FC,Free State Stars,0,0
2018-10-02,AmaZulu,Maritzburg Utd,0,0
2018-10-02,Cape Town City,Bidvest Wits,0,2
2018-10-02,Highlands Park,Kaizer Chiefs,0,0
2018-10-02,Polokwane City,SuperSport,1,1
2018-10-03,Chippa Utd,Free State Stars,1,0
2018-10-03,Bloem Celtic,Sundowns,0,0
2018-10-03,Orlando Pirates,Golden Arrows,0,0
2018-10-03,Black Leopards,Baroka FC,1,0
2018-10-05,Maritzburg Utd,Cape Town City,0,0
2018-10-06,Free State Stars,Bloem Celtic,2,0
2018-10-06,Kaizer Chiefs,Polokwane City,0,1
2018-10-06,Highlands Park,Chippa Utd,2,1
2018-10-06,AmaZulu,Orlando Pirates,1,1
2018-10-07,Golden Arrows,Black Leopards,1,0
2018-10-07,Sundowns,Bidvest Wits,1,1
2018-10-07,Baroka FC,SuperSport,0,0
2018-10-24,Free State Stars,Golden Arrows,1,1
2018-10-26,Bidvest Wits,Highlands Park,1,0
2018-10-27,Orlando Pirates,Kaizer Chiefs,2,1
2018-10-27,Polokwane City,Maritzburg Utd,1,0
2018-10-27,Chippa Utd,Sundowns,0,1
2018-10-27,Cape Town City,AmaZulu,3,0
2018-10-28,Black Leopards,Free State Stars,1,1
2018-10-28,Bloem Celtic,Baroka FC,1,0
2018-10-28,SuperSport,Golden Arrows,1,1
2018-11-06,Polokwane City,Orlando Pirates,1,2
2018-11-07,Sundowns,Free State Stars,3,1
2018-11-07,Kaizer Chiefs,Black Leopards,1,0
2018-11-09,Maritzburg Utd,Highlands Park,2,2
2018-11-10,Sundowns,Orlando Pirates,0,0
2018-11-10,Golden Arrows,Baroka FC,1,2
2018-11-10,Kaizer Chiefs,Chippa Utd,0,0
2018-11-10,Bidvest Wits,Bloem Celtic,1,2
2018-11-10,Free State Stars,SuperSport,0,1
2018-11-11,AmaZulu,Polokwane City,0,0
2018-11-11,Cape Town City,Black Leopards,3,1
2018-11-27,Highlands Park,AmaZulu,1,2
2018-11-27,Maritzburg Utd,Chippa Utd,0,0
2018-11-27,Polokwane City,Cape Town City,1,2
2018-11-28,Bloem Celtic,SuperSport,0,0
2018-11-30,Chippa Utd,AmaZulu,0,1
2018-12-01,Highlands Park,Cape Town City,2,0
2018-12-01,Golden Arrows,Kaizer Chiefs,2,1
2018-12-01,Black Leopards,Bidvest Wits,0,1
2018-12-01,Orlando Pirates,Maritzburg Utd,0,0
