,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Tue,2016-08-23,19:30,Chippa Utd,2–1,Free State Stars,4000.0,Nelson Mandela Bay Stadium,,Match Report,
1,1.0,Tue,2016-08-23,19:30,Bidvest Wits,2–1,Kaizer Chiefs,5000.0,BidVest Stadium,,Match Report,
2,1.0,Tue,2016-08-23,19:30,Baroka FC,1–1,Ajax Cape Town,5000.0,Pietersburg Stadium,,Match Report,
3,1.0,Tue,2016-08-23,19:30,Cape Town City,2–0,Polokwane City,3000.0,Cape Town Stadium,,Match Report,
4,1.0,Wed,2016-08-24,19:30,Bloem Celtic,0–1,Maritzburg Utd,7000.0,Dr. Petrus Molemela Stadium,,Match Report,
5,1.0,Wed,2016-08-24,19:30,Platinum Stars,1–0,SuperSport,1500.0,Royal Bafokeng Stadium,,Match Report,
6,1.0,Wed,2016-08-24,19:30,Orlando Pirates,3–1,Golden Arrows,10000.0,Orlando Stadium,Victor Hlungwani,Match Report,
7,,,,,,,,,,,,
8,2.0,Tue,2016-09-13,19:30,Polokwane City,0–0,Bidvest Wits,2500.0,Pietersburg Stadium,Phillip Tinyani,Match Report,
9,2.0,Tue,2016-09-13,19:30,Ajax Cape Town,1–2,Orlando Pirates,15000.0,Cape Town Stadium,Phelelani Ndaba,Match Report,
10,2.0,Tue,2016-09-13,19:30,Highlands Park,2–1,Baroka FC,1500.0,Makhulong Stadium,Victor Gomes,Match Report,
11,2.0,Wed,2016-09-14,19:30,Free State Stars,0–0,Bloem Celtic,7000.0,Goble Park Stadium,Khulekane Thusi,Match Report,
12,2.0,Wed,2016-09-14,19:30,Maritzburg Utd,0–0,Sundowns,10000.0,Harry Gwala Stadium,Lwandile Mfiki,Match Report,
13,2.0,Wed,2016-09-14,19:30,Kaizer Chiefs,1–1,Platinum Stars,5000.0,Soccer City,Victor Hlungwani,Match Report,
14,2.0,Wed,2016-09-14,19:30,SuperSport,0–0,Chippa Utd,2000.0,Lucas Masterpieces Moripe Stadium,Christopher Harrison,Match Report,
15,2.0,Wed,2016-09-14,19:30,Golden Arrows,2–0,Cape Town City,1000.0,Princess Magogo Stadium,Thando Ndzandzeka,Match Report,
16,,,,,,,,,,,,
17,3.0,Tue,2016-09-20,19:30,Baroka FC,0–2,Bidvest Wits,5864.0,Peter Mokaba Stadium,Christopher Harrison,Match Report,
18,3.0,Tue,2016-09-20,19:30,Orlando Pirates,0–0,Cape Town City,5000.0,Orlando Stadium,Daniel Bennett,Match Report,
19,3.0,Tue,2016-09-20,19:30,Ajax Cape Town,1–1,Polokwane City,1500.0,Cape Town Stadium,Victor Hlungwani,Match Report,
20,3.0,Wed,2016-09-21,18:00,Free State Stars,0–1,Golden Arrows,1500.0,Goble Park Stadium,Phillip Tinyani,Match Report,
21,3.0,Wed,2016-09-21,19:30,Highlands Park,0–1,Kaizer Chiefs,10000.0,Makhulong Stadium,Lwandile Mfiki,Match Report,
22,3.0,Wed,2016-09-21,19:30,Maritzburg Utd,0–1,SuperSport,5000.0,Harry Gwala Stadium,Kulasande Qongqo,Match Report,
23,,,,,,,,,,,,
24,4.0,Fri,2016-09-23,20:00,Cape Town City,1–0,Ajax Cape Town,7500.0,Cape Town Stadium,Lwandile Mfiki,Match Report,
25,4.0,Sat,2016-09-24,15:00,Polokwane City,3–2,Highlands Park,2000.0,Pietersburg Stadium,Bafana Mosia,Match Report,
26,4.0,Sat,2016-09-24,15:00,Platinum Stars,0–1,Baroka FC,1000.0,Royal Bafokeng Stadium,Khulekane Thusi,Match Report,
27,4.0,Sat,2016-09-24,18:00,Kaizer Chiefs,2–0,Maritzburg Utd,10000.0,Soccer City,Phillip Tinyani,Match Report,
28,4.0,Sat,2016-09-24,20:15,SuperSport,0–0,Free State Stars,1000.0,King Goodwill Zwelithini Stadium,Nkosinathi Mahono,Match Report,
29,4.0,Sun,2016-09-25,15:00,Bloem Celtic,1–2,Golden Arrows,3000.0,Dr. Petrus Molemela Stadium,Olani Kwinda,Match Report,
30,,,,,,,,,,,,
31,5.0,Tue,2016-09-27,19:30,Orlando Pirates,1–1,Platinum Stars,10000.0,Orlando Stadium,Phillip Tinyani,Match Report,
32,5.0,Tue,2016-09-27,19:30,Highlands Park,1–1,Cape Town City,1500.0,Makhulong Stadium,Khulekane Thusi,Match Report,
33,5.0,Tue,2016-09-27,19:30,Maritzburg Utd,0–1,Polokwane City,3000.0,Harry Gwala Stadium,Victor Hlungwani,Match Report,
34,5.0,Wed,2016-09-28,19:30,Free State Stars,0–2,Kaizer Chiefs,10000.0,James Motlatsi Stadium,Daniel Bennett,Match Report,
35,5.0,Wed,2016-09-28,19:30,Golden Arrows,1–1,SuperSport,2000.0,Princess Magogo Stadium,Bafana Mosia,Match Report,
36,5.0,Wed,2016-09-28,19:30,Baroka FC,1–4,Chippa Utd,4000.0,Peter Mokaba Stadium,Phelelani Ndaba,Match Report,
37,,,,,,,,,,,,
38,6.0,Sat,2016-10-15,15:30,Free State Stars,1–1,Maritzburg Utd,1000.0,James Motlatsi Stadium,Victor Gomes,Match Report,
39,6.0,Sat,2016-10-15,15:30,Golden Arrows,1–0,Chippa Utd,750.0,Princess Magogo Stadium,Victor Hlungwani,Match Report,
