Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2022-08-05,19:30,Cape Town City,0–2,Sundowns,,DHL Stadium,Thando Ndzandzeka,Match Report,
2022-08-06,15:00,Golden Arrows,0–2,Richards Bay FC,,Princess Magogo Stadium,Masixole Bambiso,Match Report,
2022-08-06,15:00,Marumo Gallants FC,0–0,Stellenbosch FC,,Peter Mokaba Stadium,Tshidiso Maruping,Match Report,
2022-08-06,15:00,Orlando Pirates,1–0,Moroka Swallows,,Orlando Stadium,Jelly Chavani,Match Report,
2022-08-06,17:30,Royal Eagles FC,1–0,Kaizer Chiefs,,Chatsworth Stadium,Luxolo Badi,Match Report,
2022-08-06,20:00,Maritzburg Utd,1–1,Sekhukhune United FC,,Harry Gwala Stadium,Abongile Tom,Match Report,
2022-08-07,15:00,TS Galaxy,0–0,AmaZulu,,BidVest Stadium,Michael Mosemeng,Match Report,
2022-08-07,17:30,SuperSport,1–1,Chippa Utd,,Lucas Masterpieces Moripe Stadium,Thokozani Mkhize,Match Report,
2022-08-09,15:00,Richards Bay FC,0–0,Marumo Gallants FC,,King Goodwill Zwelithini Stadium,Cedrick Muvhali,Match Report,
2022-08-09,17:00,Moroka Swallows,3–2,Cape Town City,,Volkswagen Dobsonville Stadium,Sikhumbuzo Gasa,Match Report,
2022-08-09,19:30,Kaizer Chiefs,3–0,Maritzburg Utd,,FNB Stadium,Tshidiso Mkwanazi,Match Report,
2022-08-10,17:00,AmaZulu,2–1,SuperSport,,Moses Mabhida Stadium,Thabo khabela,Match Report,
2022-08-10,19:30,Chippa Utd,1–3,Royal Eagles FC,2872.0,Nelson Mandela Bay Stadium,Christopher Kistoor,Match Report,
2022-08-10,19:30,Sekhukhune United FC,1–0,Golden Arrows,600.0,Peter Mokaba Stadium,Victor Gomes,Match Report,
2022-08-10,19:30,Stellenbosch FC,1–1,Orlando Pirates,,Danie Craven Stadium,Luxolo Badi,Match Report,
2022-08-10,19:30,Sundowns,0–1,TS Galaxy,5000.0,Loftus Versfeld Stadium,Abraham Mashala,Match Report,
2022-08-12,19:30,Maritzburg Utd,0–0,Moroka Swallows,,Harry Gwala Stadium,Xola Sitela,Match Report,
2022-08-13,15:00,Sundowns,4–0,Kaizer Chiefs,,Loftus Versfeld Stadium,Victor Gomes,Match Report,
2022-08-13,15:00,Stellenbosch FC,3–1,Royal Eagles FC,,Danie Craven Stadium,Masixole Bambiso,Match Report,
2022-08-13,15:00,Marumo Gallants FC,1–1,Golden Arrows,,Peter Mokaba Stadium,Mokhele Thulo,Match Report,
2022-08-13,17:30,Richards Bay FC,1–0,Sekhukhune United FC,,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
2022-08-13,20:00,AmaZulu,2–1,Cape Town City,,Moses Mabhida Stadium,Qunta Siyabulela,Match Report,
2022-08-14,15:00,Orlando Pirates,0–1,Chippa Utd,,Orlando Stadium,Philangenkosi Khumalo,Match Report,
2022-08-14,17:30,TS Galaxy,2–0,SuperSport,,Mbombela Stadium,Olani Kwinda,Match Report,
2022-08-16,19:30,Cape Town City,0–0,Maritzburg Utd,,Athlone Stadium,Jelly Chavani,Match Report,
2022-08-17,19:30,Royal Eagles FC,0–1,Orlando Pirates,,Moses Mabhida Stadium,Abongile Tom,Match Report,
2022-08-19,19:30,Moroka Swallows,2–3,AmaZulu,,Volkswagen Dobsonville Stadium,Moreki Lekwape,Match Report,
2022-08-20,15:00,Golden Arrows,0–0,TS Galaxy,,Princess Magogo Stadium,Facundo Andújar,Match Report,
2022-08-20,15:00,Sekhukhune United FC,1–1,Sundowns,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2022-08-20,17:30,Cape Town City,1–1,Stellenbosch FC,,DHL Stadium,Thando Ndzandzeka,Match Report,
2022-08-20,20:00,Maritzburg Utd,2–1,Chippa Utd,,Harry Gwala Stadium,Olani Kwinda,Match Report,
2022-08-20,20:00,Kaizer Chiefs,1–0,Richards Bay FC,,Moses Mabhida Stadium,Abongile Tom,Match Report,
2022-08-21,15:00,Royal Eagles FC,2–2,Marumo Gallants FC,,Chatsworth Stadium,Joseph Makhubo,Match Report,
2022-08-21,17:30,SuperSport,0–0,Orlando Pirates,,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
2022-08-23,19:30,Moroka Swallows,2–1,Sekhukhune United FC,,Volkswagen Dobsonville Stadium,Thabo khabela,Match Report,
2022-08-23,19:30,Cape Town City,2–0,Kaizer Chiefs,,DHL Stadium,Philangenkosi Khumalo,Match Report,
