,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Ajax Cape Town,38,26.5,,30,330,2700,30.0,23,15,38,22,1,3,58,1,0.77,0.5,1.27,0.73,1.23
1,AmaZulu,28,29.5,,30,330,2700,30.0,24,12,36,22,2,3,61,3,0.8,0.4,1.2,0.73,1.13
2,Cape Town City,29,27.5,,30,330,2700,30.0,30,20,50,29,1,1,57,3,1.0,0.67,1.67,0.97,1.63
3,Chippa Utd,35,27.9,,30,330,2700,30.0,25,20,45,25,0,0,66,4,0.83,0.67,1.5,0.83,1.5
4,Golden Arrows,33,27.2,,30,319,2610,29.0,29,22,51,28,1,2,47,0,1.0,0.76,1.76,0.97,1.72
5,Kaizer Chiefs,32,27.7,,30,330,2700,30.0,25,18,43,24,1,1,49,4,0.83,0.6,1.43,0.8,1.4
6,Moroka Swallows,41,29.1,,30,308,2520,28.0,23,10,33,22,1,3,58,1,0.82,0.36,1.18,0.79,1.14
7,Orlando Pirates,35,27.1,,30,330,2700,30.0,43,33,76,37,6,7,64,3,1.43,1.1,2.53,1.23,2.33
8,Polokwane City,30,27.2,,30,330,2700,30.0,18,11,29,18,0,0,43,0,0.6,0.37,0.97,0.6,0.97
9,Richards Bay FC,33,27.1,,30,330,2700,30.0,23,15,38,21,2,2,46,2,0.77,0.5,1.27,0.7,1.2
10,Royal Eagles FC,34,29.5,,30,330,2700,30.0,24,19,43,22,2,2,46,0,0.8,0.63,1.43,0.73,1.37
11,Sekhukhune United FC,35,28.6,,30,330,2700,30.0,31,25,56,29,2,3,36,1,1.03,0.83,1.87,0.97,1.8
12,Stellenbosch FC,29,25.7,,30,330,2700,30.0,38,27,65,37,1,2,52,3,1.27,0.9,2.17,1.23,2.13
13,Sundowns,41,28.3,,30,319,2610,29.0,48,34,82,43,5,6,69,3,1.66,1.17,2.83,1.48,2.66
14,SuperSport,34,27.2,,30,330,2700,30.0,35,24,59,32,3,3,62,5,1.17,0.8,1.97,1.07,1.87
15,TS Galaxy,28,28.8,,30,330,2700,30.0,29,19,48,26,3,5,59,1,0.97,0.63,1.6,0.87,1.5
