team_a,team_b,matches_2006_2026,team_a_wins,draws,team_b_wins,goals_a,goals_b,first_match,last_match,source_dataset,source_url
Algeria,Argentina,1,0,0,1,3,4,2007-06-05,2007-06-05,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Australia,0,0,0,0,0,0,,,,
Algeria,Austria,0,0,0,0,0,0,,,,
Algeria,Belgium,1,0,0,1,1,2,2014-06-17,2014-06-17,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Bosnia and Herzegovina,1,0,0,1,0,1,2012-11-14,2012-11-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Brazil,1,0,0,1,0,2,2007-08-22,2007-08-22,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Canada,0,0,0,0,0,0,,,,
Algeria,Cape Verde,4,2,1,1,11,6,2007-03-24,2023-10-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Colombia,1,1,0,0,3,0,2019-10-15,2019-10-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Croatia,0,0,0,0,0,0,,,,
Algeria,Curacao,0,0,0,0,0,0,,,,
Algeria,Czech Republic,0,0,0,0,0,0,,,,
Algeria,DR Congo,3,1,2,0,3,2,2008-03-26,2026-01-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Ecuador,0,0,0,0,0,0,,,,
Algeria,Egypt,6,2,2,2,6,9,2009-06-07,2023-10-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,England,1,0,1,0,0,0,2010-06-18,2010-06-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,France,0,0,0,0,0,0,,,,
Algeria,Germany,1,0,0,1,1,2,2014-06-30,2014-06-30,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Ghana,2,1,0,1,3,1,2015-01-23,2022-01-05,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Haiti,0,0,0,0,0,0,,,,
Algeria,Iran,2,1,0,1,3,3,2018-03-27,2022-06-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Iraq,1,1,0,0,2,0,2025-12-09,2025-12-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Ivory Coast,5,1,2,2,8,11,2010-01-24,2022-01-20,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Japan,0,0,0,0,0,0,,,,
Algeria,Jordan,0,0,0,0,0,0,,,,
Algeria,Mexico,1,0,1,0,2,2,2020-10-13,2020-10-13,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Morocco,3,1,1,1,3,6,2011-03-27,2021-12-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Netherlands,0,0,0,0,0,0,,,,
Algeria,New Zealand,0,0,0,0,0,0,,,,
Algeria,Norway,0,0,0,0,0,0,,,,
Algeria,Panama,0,0,0,0,0,0,,,,
Algeria,Paraguay,0,0,0,0,0,0,,,,
Algeria,Portugal,1,0,0,1,0,3,2018-06-07,2018-06-07,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Qatar,3,2,0,1,3,2,2015-03-26,2021-12-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Saudi Arabia,2,1,0,1,2,2,2018-05-09,2025-11-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Scotland,0,0,0,0,0,0,,,,
Algeria,Senegal,8,6,1,1,11,5,2008-05-31,2023-09-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,South Africa,3,1,2,0,6,4,2013-01-12,2024-03-26,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,South Korea,1,1,0,0,4,2,2014-06-22,2014-06-22,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Spain,0,0,0,0,0,0,,,,
Algeria,Sweden,2,0,0,2,3,6,2022-11-19,2025-06-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Switzerland,0,0,0,0,0,0,,,,
Algeria,Tunisia,8,4,2,2,9,5,2011-11-12,2023-06-20,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Turkey,0,0,0,0,0,0,,,,
Algeria,United States,1,0,0,1,0,1,2010-06-23,2010-06-23,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Uruguay,2,1,1,0,1,0,2009-08-12,2026-03-31,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Algeria,Uzbekistan,0,0,0,0,0,0,,,,
Argentina,Australia,3,3,0,0,5,1,2007-09-11,2023-06-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Austria,0,0,0,0,0,0,,,,
Argentina,Belgium,1,1,0,0,1,0,2014-07-05,2014-07-05,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Bosnia and Herzegovina,2,2,0,0,4,1,2013-11-18,2014-06-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Brazil,21,8,4,9,18,27,2006-09-03,2025-03-25,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Canada,3,3,0,0,9,0,2010-05-24,2024-07-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Cape Verde,0,0,0,0,0,0,,,,
Argentina,Colombia,17,7,7,3,19,13,2007-07-02,2025-06-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Croatia,3,2,0,1,5,4,2014-11-12,2022-12-13,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Curacao,0,0,0,0,0,0,,,,
Argentina,Czech Republic,0,0,0,0,0,0,,,,
Argentina,DR Congo,0,0,0,0,0,0,,,,
Argentina,Ecuador,17,8,6,3,27,14,2008-06-15,2025-09-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Egypt,1,1,0,0,2,0,2008-03-26,2008-03-26,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,England,0,0,0,0,0,0,,,,
Argentina,France,4,2,1,1,9,7,2007-02-07,2022-12-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Germany,7,3,2,2,11,11,2006-06-30,2019-10-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Ghana,1,1,0,0,2,0,2009-09-30,2009-09-30,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Haiti,2,2,0,0,8,0,2010-05-05,2018-05-29,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Iran,1,1,0,0,1,0,2014-06-21,2014-06-21,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Iraq,1,1,0,0,4,0,2018-10-11,2018-10-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Ivory Coast,1,1,0,0,2,1,2006-06-10,2006-06-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Argentina,Japan,1,0,0,1,0,1,2010-10-08,2010-10-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
